Dataset,TrainSize,TestSize,FeatureCount,D,Multivarié/Univarié,Epsilon,#,Gap,ErreursTrain/Test,Time
iris,120,30,4,2,Univarié,0.0%,3,0.0%,43/13,0.0s
iris,120,30,4,2,Univarié,25.0%,3,0.0%,43/13,0.0s
iris,120,30,4,2,Univarié,50.0%,3,0.0%,43/13,0.0s
iris,120,30,4,2,Univarié,75.0%,3,0.0%,43/13,0.0s
iris,120,30,4,2,Univarié,100.0%,3,0.0%,43/13,0.0s
iris,120,30,4,2,Multivarié,0.0%,3,0.0%,38/12,0.0s
iris,120,30,4,2,Multivarié,25.0%,3,0.0%,38/12,0.0s
iris,120,30,4,2,Multivarié,50.0%,3,0.0%,38/12,0.0s
iris,120,30,4,2,Multivarié,75.0%,3,0.0%,38/12,0.0s
iris,120,30,4,2,Multivarié,100.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Univarié,0.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Univarié,25.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Univarié,50.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Univarié,75.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Univarié,100.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Multivarié,0.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Multivarié,25.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Multivarié,50.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Multivarié,75.0%,3,0.0%,38/12,0.0s
iris,120,30,4,3,Multivarié,100.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Univarié,0.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Univarié,25.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Univarié,50.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Univarié,75.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Univarié,100.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Multivarié,0.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Multivarié,25.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Multivarié,50.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Multivarié,75.0%,3,0.0%,38/12,0.0s
iris,120,30,4,4,Multivarié,100.0%,3,0.0%,38/12,0.0s
seeds,168,42,6,2,Univarié,0.0%,4,0.0%,118/31,0.0s
seeds,168,42,6,2,Univarié,25.0%,4,0.0%,118/31,0.0s
seeds,168,42,6,2,Univarié,50.0%,4,0.0%,118/31,0.0s
seeds,168,42,6,2,Univarié,75.0%,4,0.0%,118/31,0.0s
seeds,168,42,6,2,Univarié,100.0%,4,0.0%,118/31,0.0s
seeds,168,42,6,2,Multivarié,0.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,2,Multivarié,25.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,2,Multivarié,50.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,2,Multivarié,75.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,2,Multivarié,100.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,3,Univarié,0.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,3,Univarié,25.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,3,Univarié,50.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,3,Univarié,75.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,3,Univarié,100.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,3,Multivarié,0.0%,4,0.0%,69/14,0.0s
seeds,168,42,6,3,Multivarié,25.0%,4,0.0%,69/14,0.0s
seeds,168,42,6,3,Multivarié,50.0%,4,0.0%,69/14,0.0s
seeds,168,42,6,3,Multivarié,75.0%,4,0.0%,69/14,0.0s
seeds,168,42,6,3,Multivarié,100.0%,4,0.0%,69/14,0.0s
seeds,168,42,6,4,Univarié,0.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,4,Univarié,25.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,4,Univarié,50.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,4,Univarié,75.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,4,Univarié,100.0%,4,0.0%,120/31,0.0s
seeds,168,42,6,4,Multivarié,0.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,4,Multivarié,25.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,4,Multivarié,50.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,4,Multivarié,75.0%,4,0.0%,65/13,0.0s
seeds,168,42,6,4,Multivarié,100.0%,4,0.0%,65/13,0.0s
wine,142,36,13,2,Univarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Univarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Univarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Univarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Univarié,100.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Multivarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Multivarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Multivarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Multivarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,2,Multivarié,100.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Univarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Univarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Univarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Univarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Univarié,100.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Multivarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Multivarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Multivarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Multivarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,3,Multivarié,100.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Univarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Univarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Univarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Univarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Univarié,100.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Multivarié,0.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Multivarié,25.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Multivarié,50.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Multivarié,75.0%,1,0.0%,102/28,0.0s
wine,142,36,13,4,Multivarié,100.0%,1,0.0%,102/28,0.0s
diabetes,160,40,8,2,Univarié,0.0%,3,0.0%,72/15,0.0s
diabetes,160,40,8,2,Univarié,25.0%,3,0.0%,72/15,0.0s
diabetes,160,40,8,2,Univarié,50.0%,3,0.0%,72/15,0.0s
diabetes,160,40,8,2,Univarié,75.0%,3,0.0%,72/15,0.0s
diabetes,160,40,8,2,Univarié,100.0%,3,0.0%,72/15,0.0s
diabetes,160,40,8,2,Multivarié,0.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,2,Multivarié,25.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,2,Multivarié,50.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,2,Multivarié,75.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,2,Multivarié,100.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,3,Univarié,0.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,3,Univarié,25.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,3,Univarié,50.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,3,Univarié,75.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,3,Univarié,100.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,3,Multivarié,0.0%,3,0.0%,59/14,0.0s
diabetes,160,40,8,3,Multivarié,25.0%,3,0.0%,59/14,0.0s
diabetes,160,40,8,3,Multivarié,50.0%,3,0.0%,59/14,0.0s
diabetes,160,40,8,3,Multivarié,75.0%,3,0.0%,59/14,0.0s
diabetes,160,40,8,3,Multivarié,100.0%,3,0.0%,59/14,0.0s
diabetes,160,40,8,4,Univarié,0.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,4,Univarié,25.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,4,Univarié,50.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,4,Univarié,75.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,4,Univarié,100.0%,3,0.0%,48/15,0.0s
diabetes,160,40,8,4,Multivarié,0.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,4,Multivarié,25.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,4,Multivarié,50.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,4,Multivarié,75.0%,3,0.0%,61/14,0.0s
diabetes,160,40,8,4,Multivarié,100.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,2,Univarié,0.0%,3,0.0%,72/15,0.0s
ionosphere,160,40,8,2,Univarié,25.0%,3,0.0%,72/15,0.0s
ionosphere,160,40,8,2,Univarié,50.0%,3,0.0%,72/15,0.0s
ionosphere,160,40,8,2,Univarié,75.0%,3,0.0%,72/15,0.0s
ionosphere,160,40,8,2,Univarié,100.0%,3,0.0%,72/15,0.0s
ionosphere,160,40,8,2,Multivarié,0.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,2,Multivarié,25.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,2,Multivarié,50.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,2,Multivarié,75.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,2,Multivarié,100.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,3,Univarié,0.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,3,Univarié,25.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,3,Univarié,50.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,3,Univarié,75.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,3,Univarié,100.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,3,Multivarié,0.0%,3,0.0%,59/14,0.0s
ionosphere,160,40,8,3,Multivarié,25.0%,3,0.0%,59/14,0.0s
ionosphere,160,40,8,3,Multivarié,50.0%,3,0.0%,59/14,0.0s
ionosphere,160,40,8,3,Multivarié,75.0%,3,0.0%,59/14,0.0s
ionosphere,160,40,8,3,Multivarié,100.0%,3,0.0%,59/14,0.0s
ionosphere,160,40,8,4,Univarié,0.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,4,Univarié,25.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,4,Univarié,50.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,4,Univarié,75.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,4,Univarié,100.0%,3,0.0%,48/15,0.0s
ionosphere,160,40,8,4,Multivarié,0.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,4,Multivarié,25.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,4,Multivarié,50.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,4,Multivarié,75.0%,3,0.0%,61/14,0.0s
ionosphere,160,40,8,4,Multivarié,100.0%,3,0.0%,61/14,0.0s
